"ID","genotype","site","year","population","SowDate","Harvest","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Yield","Soybean.Grain.Size","Soybean.Grain.Number","Soybean.Total.Wt","Soybean.Leaf.FRGR","Soybean.Leaf.Fw","Soybean.Leaf.Photosynthesis.FT","Soybean.Leaf.Photosynthesis.FW","Soybean.WaterUptake(1)","Soybean.WaterUptake(2)","Soybean.WaterUptake(3)","Soybean.WaterUptake(4)","Soybean.WaterUptake(5)","Soybean.WaterUptake(6)","Soybean.WaterUptake(7)","Soybean.WaterUptake(8)","Soybean.WaterUptake(9)","Soybean.WaterUptake(10)","Date"
"Col10_MG5_30_02-jun_01-nov","Generic_MG5","Columbus",2010,30,"02-jun","01-nov",1,1,"paddock","2010-07-26 12:00:00",4.01725243434623,"StartFlowering",402.792807345785,0,0,0,548.585134523446,1,1,1,1,1.50094364486239,1.05642663092242,0.718004145797519,0.590562240510493,0.498724470540517,0.383584485440118,0.333014222319105,0.217842088639477,0,0,2010-07-26
"Col10_MG5_30_02-jun_20-oct","Generic_MG5","Columbus",2010,30,"02-jun","20-oct",1,1,"paddock","2010-07-26 12:00:00",4.01725243434623,"StartFlowering",402.792807345785,0,0,0,548.585134523446,1,1,1,1,1.50094364486239,1.05642663092242,0.718004145797519,0.590562240510493,0.498724470540517,0.383584485440118,0.333014222319105,0.217842088639477,0,0,2010-07-26
"Col16_MG4_30_29-jun_16-nov","Generic_MG4","Columbus",2016,30,"29-jun","16-nov",1,1,"paddock","2016-08-09 12:00:00",4.05712782702302,"StartFlowering",201.728176880492,0,0,0,267.194268903317,1,1,1,1,1.70150847273772,0.924924386258738,0.447227910634379,0.444998596726745,0.485905777920231,0.355009359809215,0,0,0,0,2016-08-09
"Col16_MG5_30_29-jun_16-nov","Generic_MG5","Columbus",2016,30,"29-jun","16-nov",1,1,"paddock","2016-08-14 12:00:00",4.06991397726836,"StartFlowering",263.081275076011,0,0,0,351.305241487696,1,0.866723679494996,1,0.866723679494996,1.278865325595,1.12815122614216,0.468327243081522,0.445401884635845,0.50456617610939,0.504017631843512,0.233096276890637,0,0,0,2016-08-14
"Col16_MG6_30_29-jun_16-nov","Generic_MG6","Columbus",2016,30,"29-jun","16-nov",1,1,"paddock","2016-08-19 12:00:00",4.02028830684481,"StartFlowering",319.134543245658,0,0,0,427.832114149035,1,0.707812583550019,1,0.707812583550019,0.588346717761952,0.885133882322947,0.403106793268941,0.378839488918354,0.445038659807362,0.454584518405827,0.433461720762057,0.0972607273477929,0,0,2016-08-19
"Col17_MG4_30_28-jun_21-nov","Generic_MG4","Columbus",2017,30,"28-jun","21-nov",1,1,"paddock","2017-08-10 12:00:00",4.01366795053366,"StartFlowering",235.488658367673,0,0,0,319.074566961786,1,1,1,1,0.964108258244522,0.936932653728783,0.763675288550971,0.620435650766497,0.490044414862086,0.395598564406527,0.0164299284910451,0,0,0,2017-08-10
"Col17_MG5_30_28-jun_21-nov","Generic_MG5","Columbus",2017,30,"28-jun","21-nov",1,1,"paddock","2017-08-16 12:00:00",4.05321447787542,"StartFlowering",302.852365692431,0,0,0,411.278545202679,1,1,1,1,1.05472157006233,1.08653251121202,0.934049136250104,0.801020756802523,0.648641449412766,0.521145285862945,0.402742195285025,0,0,0,2017-08-16
"Col19_MG3_25_27-jun_18-nov","Generic_MG3","Columbus",2019,25,"27-jun","18-nov",1,1,"paddock","2019-08-04 12:00:00",4.05133549588106,"StartFlowering",165.884256196551,0,0,0,224.25597978666,1,1,1,1,1.13055764069331,0.535505540779896,0.249509735748448,0.210133311598402,0.226197012029628,0.0895233685147795,0,0,0,0,2019-08-04
"Col19_MG4_25_27-jun_18-nov","Generic_MG4","Columbus",2019,25,"27-jun","18-nov",1,1,"paddock","2019-08-09 12:00:00",4.0763644083204,"StartFlowering",218.701751312382,0,0,0,297.166765443229,1,1,1,1,0.830348846492767,0.61715839203855,0.416625513395926,0.221195405622496,0.192629835674796,0.184259125286969,0.0281094103330172,0,0,0,2019-08-09
"Col19_MG5_25_27-jun_18-nov","Generic_MG5","Columbus",2019,25,"27-jun","18-nov",1,1,"paddock","2019-08-13 12:00:00",4.00440341671323,"StartFlowering",266.651139099195,0,0,0,363.844984931261,1,1,1,1,1.10046091504069,1.19442513880662,1.02851700424148,0.784716089151033,0.491088578063187,0.448188348305088,0.312837445840453,0,0,0,2019-08-13
